Brand,product name, shipping type,offer
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC Video Card,Free Shipping,+ $20 off w/ promo code VGAQWMS23, limited offer
EVGA,EVGA GeForce GTX 1660 Ti XC GAMING  06G-P4-1263-KR  6GB GDDR6  HDB Fan,$3.99 Shipping,Get Grip Game + EVGA Vehicle Skin w/ purchase, while supplies last
GIGABYTE,GIGABYTE GeForce RTX 2080 SUPER DirectX 12 GV-N208SGAMINGOC WB-8GD Video Card,Free Shipping,Buy GeForce RTX, get Death Stranding, while supplies last
GIGABYTE,GIGABYTE GeForce RTX 2070 Super GAMING OC 3X 8G Graphics Card  GV-N207SGAMING OC-8GD,Free Shipping,+ $20 off w/ promo code VGAERGBT22, limited offer
GIGABYTE,GIGABYTE GeForce RTX 2070 DirectX 12 GV-N2070WF2-8GD Video Card,Free Shipping,+ $15 off w/ promo code GBTVGAFS39, limited offer
ASUS,ASUS ROG Strix Radeon RX 5700 XT ROG-STRIX-RX5700XT-O8G-GAMING Video Card,Free Shipping,Free Godfall and World of Warcraft: Shadowlands w/ purchase, limited offer
MSI,MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER VENTUS XS OC Video Card,Free Shipping,+ $12 off w/ promo code VGAQWMS22, limited offer
EVGA,EVGA GeForce RTX 2080 SUPER KO GAMING Video Card  08G-P4-2083-KR  8GB GDDR6  Dual Fans,Free Shipping,Buy GeForce RTX, get Death Stranding, while supplies last
Sapphire Tech,SAPPHIRE PULSE Radeon RX 5700 XT 100416P8GL Video Card,Free Shipping,+ $15 off w/ promo code VGAPCJY425, limited offer
XFX,XFX Radeon RX 5600 XT RX-56XT6DF46 Video Card THICC II PRO-14GBPS 6GB BOOST UP TO 1620M D6  3xDP HDMI,Free Shipping,Free Godfall and World of Warcraft: Shadowlands w/ purchase, limited offer
ASRock,ASRock Radeon RX 5700 XT DirectX 12 RX 5700 XT TAICHI X 8G OC+ Video Card,$3.99 Shipping,Free Godfall + ASRock X10 IoT Router w/ purchase, limited offer
GIGABYTE,GIGABYTE Radeon RX 5600 XT WINDFORCE OC 6G Graphics Card  2 x WINDFORCE Fans  6GB 192-Bit GDDR6  GV-R56XTWF2OC-6GD Video Card,Free Shipping,+ $5 off w/ promo code VGAERGBT26, limited offer
